"705546643081302016","RT @desikitteh: .@EverydaySexism got a #deaththreat last night for not wanting to talk to a stranger in pm on irc… #everydaysexism","RT got a deaththreat last night for not wanting to talk to a stranger in pm on irc everydaysexism","[u'#deaththreat', u'#everydaysexism']"
"705511752537153537","Definitely #Deport him! Hes making #TerroistDeathThreats  Egyptian student may be deported after #Trump deaththreat https://t.co/qkfEE4Yq3b","Definitely Deport him Hes making TerroistDeathThreats Egyptian student may be deported after Trump deaththreat","[u'#Deport', u'#TerroistDeathThreats', u'#Trump']"
"705256259885268993","whoa. this one sure is going to be famous. @FBI please report her for libel and #deaththreat 
https://t.co/e4eJOovDjp","whoa this one sure is going to be famous please report her for libel and deaththreat","[u'#deaththreat']"
"704892668950802434","RT @NMRedMenace: @RealMikeCarlyle I never once said that Cullen Neal wasn't threatened I said there was no #DEATHTHREAT","RT I never once said that Cullen Neal wasn t threatened I said there was no DEATHTHREAT","[u'#DEATHTHREAT']"
"704654362065440769","Thankyou @loosewomen for alerting us to the dangers of a handbag! Off to give mine a good clean! #deaththreat #deathbyhandbag","Thankyou for alerting us to the dangers of a handbag Off to give mine a good clean deaththreat deathbyhandbag","[u'#deaththreat', u'#deathbyhandbag']"
"704588759199776768","@Bsquaaare you got the movez 😂 https://t.co/tuSSAKrn2f","you got the movez","[]"
"704575998528921601","RT @Leogorgon3698: @HollyAnswers @FBI @SecretService theres another #deaththreat against trump -----------------&gt; https://t.co/PUbtriU0qe #…","RT theres another deaththreat against trump gt","[u'#deaththreat']"
"704536803647184896","@HollyAnswers @FBI @SecretService theres another #deaththreat against trump -----------------&gt; https://t.co/PUbtriU0qe #report @FBI","theres another deaththreat against trump gt report","[u'#deaththreat', u'#report']"
"704519136685256708","RT @CreativUAngel: NewVibes: @CreativUAngel Level Up + Prod. @SdotFire via @TSAShowcase 
Art:@T_r3llz https://t.co/P98Ya6FI5z | https://t.c…","RT NewVibes Level Up Prod via Art r3llz","[]"
"704513109273108481","RT @Leogorgon3698: report this to the @FBI #DeathThreat
https://t.co/PUbtriU0qe","RT report this to the DeathThreat","[u'#DeathThreat']"
"704498844537466880","RT @cora_coarse: @MC_Shiawase @cora_coarse deaththreat tlga? Cllect evidences sobthat mngot dpt mnagot ALDUBBirthdayWish #VoteMaineFPP #KCA","RT coarse Shiawase coarse deaththreat tlga Cllect evidences sobthat mngot dpt mnagot ALDUBBirthdayWish VoteMaineFPP KCA","[u'#VoteMaineFPP', u'#KCA']"
"704498448939094016","@MC_Shiawase @cora_coarse deaththreat tlga? Cllect evidences sobthat mngot dpt mnagot ALDUBBirthdayWish #VoteMaineFPP #KCA","Shiawase coarse deaththreat tlga Cllect evidences sobthat mngot dpt mnagot ALDUBBirthdayWish VoteMaineFPP KCA","[u'#VoteMaineFPP', u'#KCA']"
"704489443403509760","TF? another #DeathThreat! Report this creep to the @FBI ASAP!!
https://t.co/pwKsy3a0Iy","TF another DeathThreat Report this creep to the ASAP","[u'#DeathThreat']"
"704478934298001408",".#Bilderberg Tweets #Cryptic #DeathThreat to #DonaldTrump: #Trump Starts to wear #BulletProofVest https://t.co/DOjoBE6Fxx via @YouTube .","Bilderberg Tweets Cryptic DeathThreat to DonaldTrump Trump Starts to wear BulletProofVest via","[u'#Cryptic', u'#DeathThreat', u'#DonaldTrump', u'#Trump', u'#BulletProofVest']"
"704462416214564864","ps report this douche bag to the @FBI dont even try anything else. just block and report #DeathThreat
https://t.co/PUbtriU0qe","ps report this douche bag to the dont even try anything else just block and report DeathThreat","[u'#DeathThreat']"
"704458428429656064","report this to the @FBI #DeathThreat
https://t.co/PUbtriU0qe","report this to the DeathThreat","[u'#DeathThreat']"
"704447459959803904","@RealMikeCarlyle I never once said that Cullen Neal wasn't threatened I said there was no #DEATHTHREAT","I never once said that Cullen Neal wasn t threatened I said there was no DEATHTHREAT","[u'#DEATHTHREAT']"
"704378472114819072","@sk8boardt @TimelessTeek4 BOTH YALL CRAZZZZYYYY","BOTH YALL CRAZZZZYYYY","[]"
"704374905916235777","@_deaththreat  AHHH AAIGHT","deaththreat AHHH AAIGHT","[]"
"704374774248710144","RT @TimelessTeek4: @_deaththreat BOYY IDK I BEEN WANTED SOME @TheHempClub","RT deaththreat BOYY IDK I BEEN WANTED SOME","[]"
"704374681671958528","@TimelessTeek4 BOI YOU BETTER HIT UP @Rvwstv CAUSE THAT ONE YOU GOT ON IS MINE FOO HAHA","BOI YOU BETTER HIT UP CAUSE THAT ONE YOU GOT ON IS MINE FOO HAHA","[]"
"704374413253332992","@_deaththreat BOYY IDK I BEEN WANTED SOME @TheHempClub","deaththreat BOYY IDK I BEEN WANTED SOME","[]"
"704374317031792640","RT @TimelessTeek4: @_deaththreat ..@Rvwstv @TheHempClub TOLD YA I KAME UP","RT deaththreat TOLD YA I KAME UP","[]"
"704374239625928704","RT @TimelessTeek4: @_deaththreat BOY U MIGHT B DEAD ON THIS HERE HOODY BOY https://t.co/qDgJxj0G11","RT deaththreat BOY U MIGHT B DEAD ON THIS HERE HOODY BOY","[]"
"704374193501159424","SMDH,  i know i forgot something ,, Im getting that back tho lmaooo  https://t.co/9IEaJz7ZLU","SMDH i know i forgot something Im getting that back tho lmaooo","[]"
"704373999204245504","@_deaththreat ..@Rvwstv @TheHempClub TOLD YA I KAME UP","deaththreat TOLD YA I KAME UP","[]"
"704372756054450176","@_deaththreat BOY U MIGHT B DEAD ON THIS HERE HOODY BOY https://t.co/qDgJxj0G11","deaththreat BOY U MIGHT B DEAD ON THIS HERE HOODY BOY","[]"
"704360612990685184","Lets just fucking smoke lol https://t.co/9XLFk1g7mc","Lets just fucking smoke lol","[]"
"704359106342227968","RT @Bsquaaare: @_deaththreat @trapghanistan hm maybe I'm wrong, who knows.","RT deaththreat hm maybe I m wrong who knows","[]"
"704359072653582339","@Bsquaaare @trapghanistan i think both of you wrong lmaooo","i think both of you wrong lmaooo","[]"
"704356682172792833","@_deaththreat @trapghanistan hm maybe I'm wrong, who knows.","deaththreat hm maybe I m wrong who knows","[]"
"704356585301274624","@Bsquaaare @trapghanistan i think i was right? Lol","i think i was right Lol","[]"
"704355565296873472","@trapghanistan where you at? East side?","where you at East side","[]"
"704355335914434560","@_deaththreat @trapghanistan pretty sure he was just agreeing to smoke one lol","deaththreat pretty sure he was just agreeing to smoke one lol","[]"
"704355079747465216","@trapghanistan what are u a grammar nazi lol","what are u a grammar nazi lol","[]"
"704351572785020932","""Lets smoke one""
📸 @trapghanistan 
@hypland https://t.co/esf6zK0ceZ","Lets smoke one","[]"
"704037176649117697","RT @Rvwstv: FUCK12 FLEECE. https://t.co/VEFUEQ7w49","RT FUCK12 FLEECE","[]"
"703816389757304833","please report this tweet to the @FBI #DeathThreat
https://t.co/CJcGAaV2bf","please report this tweet to the DeathThreat","[u'#DeathThreat']"
"703742992612458496","EVERYONE needs to speak out - also #SalmanRushdie deaththreat -UK Gov inaction as far as I can see - No If's, No But's people -time to speak","EVERYONE needs to speak out also SalmanRushdie deaththreat UK Gov inaction as far as I can see No If s No But s people time to speak","[u'#SalmanRushdie']"
"703651644957925376","RT @HollyAnswers: #DeathThreat Please Report https://t.co/oW5bnuFpF1","RT DeathThreat Please Report","[u'#DeathThreat']"
"703437104873922561","RT @bracoclothing: Pop up at Synergy Power with creativuniverse lit 🔥 🔥 🔥 
#bracoclothing #whysosour #preorder… https://t.co/yHtbURSKPa","RT Pop up at Synergy Power with creativuniverse lit bracoclothing whysosour preorder","[u'#bracoclothing', u'#whysosour', u'#preorder']"
"703408076813049856","#DeathThreat Please Report https://t.co/oW5bnuFpF1","DeathThreat Please Report","[u'#DeathThreat']"
"703382614577713152","RT @OG_SKY: #FAMILYREUNION 

March 26th // BackBooth // Orlando FL 

Buy your tickets now on - https://t.co/tcBnW0TGQN https://t.co/LaQunys…","RT SKY FAMILYREUNION March 26th BackBooth Orlando FL Buy your tickets now on","[u'#FAMILYREUNION']"
"706812291413467137","Tunisia kills 21 jihadists after attack near Libya border https://t.co/FbTvF2fLmZ","Tunisia kills 21 jihadists after attack near Libya border","[]"
"706812288003665920","At least 8 people, including 2 officers and 2 children, die in Pakistan suicide attack, officer says.  https://t.co/afA7kMF5Rf via @cnnbrk","At least 8 people including 2 officers and 2 children die in Pakistan suicide attack officer says via","[]"
"706812286120296453","RT @theage: Fired for speaking out: https://t.co/j6odUvwEB9
#4Corners #CommInsure https://t.co/sUzGvpqZXR","RT Fired for speaking out 4Corners CommInsure","[u'#4Corners', u'#CommInsure']"
"706812283628843008","Mumtaz Qadri Execution: 'Revenge Attack' Kills 10 In Peshawar Suicide Bombing https://t.co/CxkG0M2QwS https://t.co/izZutDU13B","Mumtaz Qadri Execution Revenge Attack Kills 10 In Peshawar Suicide Bombing","[]"
"706812280415981568","‘New IRA’ claims responsibility for Belfast bomb attack: Police fear rise in dissident republican violence ahead of… https://t.co/J4LawzbKMJ","New IRA claims responsibility for Belfast bomb attack Police fear rise in dissident republican violence ahead of","[]"
"706812280365666305","Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27: The assault comes at a time of growing... https://t.co/IHjEXdhVqJ","Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 The assault comes at a time of growing","[]"
"706812274262958080","Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27: The assault comes at a t... https://t.co/NUoDyjgS2W @nytimesworld","Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 The assault comes at a t","[]"
"706812271620546560","RT @guardiannews: Wars are being fought as in 'barbarian times', warns MSF chief in attack on global powers https://t.co/bHmm9WoI24","RT Wars are being fought as in barbarian times warns MSF chief in attack on global powers","[]"
"706812270701969409","Suicide Attack at Pakistani Court Compound Kills Over a Dozen: A bomber detonated himself after forcing his wa... https://t.co/kxsbOCU3Y8","Suicide Attack at Pakistani Court Compound Kills Over a Dozen A bomber detonated himself after forcing his wa","[]"
"706812268726497280","Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27 https://t.co/mCHJSJysdC - @TSH_News","Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 News","[]"
"706812267786932225","RT @rayaguru_akd: I'm not surprised some attack jhanvi. Appreciate her confidence and courage. Only JNU journalists, anti national got free…","RT akd I m not surprised some attack jhanvi Appreciate her confidence and courage Only JNU journalists anti national got free","[]"
"706812267073941504","Suicide Attack at Pakistani Court Compound Kills Over a Dozen https://t.co/SEnxi9ll1Z - @TSH_News","Suicide Attack at Pakistani Court Compound Kills Over a Dozen News","[]"
"706812263777185792","Suicide Attack at Pakistani Court Compound Kills Over a Dozen: A bomber detonated himself after forcing his way through the main entr...","Suicide Attack at Pakistani Court Compound Kills Over a Dozen A bomber detonated himself after forcing his way through the main entr","[]"
"706812261273366528","RT @ChristiAnne67: #AntiVaxxers attack Allison Hagood https://t.co/NyX33adnJA a Psychology professor &amp; #science advocate. https://t.co/Vhs3…","RT AntiVaxxers attack Allison Hagood a Psychology professor amp science advocate","[u'#AntiVaxxers', u'#science']"
"706812258844700673","#NYTimes Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27: The assault comes at a time o... https://t.co/GLz3SS9hHC","NYTimes Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 The assault comes at a time o","[u'#NYTimes']"
"706812258219765760","Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27: The assault comes at a ... https://t.co/L6uXZJPRou (Via @nytimes)","Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 The assault comes at a Via","[]"
"706812257225670656","#WorldNews. Suicide Attack at Pakistani Court Compound Kills Over a Dozen  /#world","WorldNews Suicide Attack at Pakistani Court Compound Kills Over a Dozen world","[u'#WorldNews']"
"706812257158590464","Suicide Attack at Pakistani Court Compound Kills Over a Dozen: A bomber detonated himself after... https://t.co/dqUe9GiDNH (Via @nytimes)","Suicide Attack at Pakistani Court Compound Kills Over a Dozen A bomber detonated himself after Via","[]"
"706812254499504128","RT @maydeuO: Today more than 60 people have been killed in an attack in Baghdad

For the macedonian government Baghdad is a safe city","RT Today more than 60 people have been killed in an attack in Baghdad For the macedonian government Baghdad is a safe city","[]"
"706812248275025920","Nine Dead In Pakistan Suicide Attack https://t.co/IRlBDnGg6t https://t.co/EGeGTVsi8Q","Nine Dead In Pakistan Suicide Attack","[]"
"706812246265974784","World News - Clash at Military Barracks Near Tunisia-Libya Border Kills at Least 27: The assault comes at a ti... https://t.co/fcy6FMlC4g","World News Clash at Military Barracks Near Tunisia Libya Border Kills at Least 27 The assault comes at a ti","[]"
"706812245003534336","World News - Suicide Attack at Pakistani Court Compound Kills Over a Dozen: A bomber detonated himself after f... https://t.co/8N6cZGXHgK","World News Suicide Attack at Pakistani Court Compound Kills Over a Dozen A bomber detonated himself after f","[]"
"706812244676358144","RT @yuvadesh: Everyday Modi ji's party makes personal attacks on me. I don't care but please don't attack the poor-Rahul Gandhi https://t.c…","RT Everyday Modi ji s party makes personal attacks on me I don t care but please don t attack the poor Rahul Gandhi","[]"
